,id,analysis_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
99,0Pd354Pb7GcN36FRTPhdfw,https://api.spotify.com/v1/audio-analysis/0Pd354Pb7GcN36FRTPhdfw,0.344,0.147,10,-20.114,0,0.0348,0.982,0.696,0.108,0.113,84.238,258977,4,1
100,0NVDCHyEn5eLwfcxx2QFC6,https://api.spotify.com/v1/audio-analysis/0NVDCHyEn5eLwfcxx2QFC6,0.576,0.121,7,-18.888,0,0.041,0.869,0.667,0.102,0.125,105.872,223525,4,1
101,0bjdnGERLF53etzOiyRKrf,https://api.spotify.com/v1/audio-analysis/0bjdnGERLF53etzOiyRKrf,0.433,0.114,2,-16.865,0,0.0329,0.955,0.619,0.112,0.0876,114.412,173673,4,1
102,0wyvsAqerhZ4Xoz7mUn49j,https://api.spotify.com/v1/audio-analysis/0wyvsAqerhZ4Xoz7mUn49j,0.397,0.239,9,-16.553,0,0.0335,0.934,0.93,0.209,0.187,98.956,196637,4,1
103,5iShMgXWNiRUHc1knNf6QI,https://api.spotify.com/v1/audio-analysis/5iShMgXWNiRUHc1knNf6QI,0.516,0.159,5,-15.187,1,0.0377,0.972,0.895,0.0856,0.196,115.754,141848,4,1
104,2ZmHciaD6uCP3AAqZtzgvF,https://api.spotify.com/v1/audio-analysis/2ZmHciaD6uCP3AAqZtzgvF,0.438,0.181,11,-17.928,0,0.0364,0.914,0.959,0.0983,0.165,107.589,193438,4,1
105,7Mrz01pIRqW3IGQro5IqDq,https://api.spotify.com/v1/audio-analysis/7Mrz01pIRqW3IGQro5IqDq,0.468,0.15,1,-17.375,1,0.047,0.898,0.89,0.108,0.405,178.566,185266,3,2
106,3jd766vnNaZF8Z1zxGI1dj,https://api.spotify.com/v1/audio-analysis/3jd766vnNaZF8Z1zxGI1dj,0.474,0.141,0,-16.355,1,0.0376,0.967,0.464,0.0981,0.128,116.77,274157,4,1
107,2IP1MFL8G8A5hIOIXhnaz1,https://api.spotify.com/v1/audio-analysis/2IP1MFL8G8A5hIOIXhnaz1,0.59,0.135,5,-16.099,1,0.0455,0.973,0.839,0.112,0.359,120.849,202115,4,1
108,3ssyhOkzW2tfNCiR7qihx4,https://api.spotify.com/v1/audio-analysis/3ssyhOkzW2tfNCiR7qihx4,0.609,0.162,3,-17.65,1,0.0375,0.917,0.791,0.112,0.123,106.051,237679,4,1
109,5lk6Ro1xDJJyKAqjWd78JG,https://api.spotify.com/v1/audio-analysis/5lk6Ro1xDJJyKAqjWd78JG,0.547,0.193,5,-15.336,0,0.0386,0.953,0.735,0.191,0.221,129.09,145029,3,2
110,4ZGlMy7TmvZNYTacuIyqSo,https://api.spotify.com/v1/audio-analysis/4ZGlMy7TmvZNYTacuIyqSo,0.396,0.187,0,-12.532,0,0.0374,0.95,0.665,0.0938,0.178,163.911,223228,3,2
111,3CpRRIHLxKHSBSvnCgGeD1,https://api.spotify.com/v1/audio-analysis/3CpRRIHLxKHSBSvnCgGeD1,0.526,0.131,0,-17.461,0,0.0368,0.947,0.853,0.349,0.176,112.949,260541,4,1
112,1BJmiWUEqMx2aqHqfIbeAQ,https://api.spotify.com/v1/audio-analysis/1BJmiWUEqMx2aqHqfIbeAQ,0.527,0.126,7,-18.413,0,0.0323,0.954,0.697,0.117,0.068,88.905,184186,4,1
113,1QVNZXoguyS3bBzMldMn7i,https://api.spotify.com/v1/audio-analysis/1QVNZXoguyS3bBzMldMn7i,0.503,0.148,9,-18.948,0,0.0453,0.954,0.817,0.111,0.0585,118.315,287480,4,1
114,5fJgmA4jkcqoJBnLPC3AX7,https://api.spotify.com/v1/audio-analysis/5fJgmA4jkcqoJBnLPC3AX7,0.392,0.162,0,-18.094,1,0.0421,0.979,0.745,0.124,0.189,95.655,237141,4,1
115,4JU856I3RFY6n37EKwCT2c,https://api.spotify.com/v1/audio-analysis/4JU856I3RFY6n37EKwCT2c,0.461,0.132,3,-19.43,1,0.0404,0.944,0.938,0.107,0.138,124.267,249336,4,1
116,0GLnrfMwiuJEqeb6IDsUMO,https://api.spotify.com/v1/audio-analysis/0GLnrfMwiuJEqeb6IDsUMO,0.438,0.144,2,-16.114,0,0.0365,0.954,0.718,0.0916,0.379,101.439,242623,4,1
